k[1/Mpc], k[h/Mpc], Delta2_lin, Delta2_nl, Delta2_nl_30
1.000000000000000048e-04,1.474708745022857944e-04,1.015228841282821416e-10,1.015125208312928514e-10,1.015171229252701274e-10
1.009257536193751702e-04,1.488360914605149252e-04,1.053008131080544338e-10,1.052899648973284084e-10,1.052923481415854979e-10
1.018600774363880891e-04,1.502139469641469965e-04,1.092193084648575517e-10,1.092079526529127445e-10,1.092084041282365564e-10
1.028030507899538109e-04,1.516045580149739166e-04,1.132835991667483269e-10,1.132717120047801279e-10,1.132709276877522753e-10
1.037547537534699009e-04,1.530080426979352442e-04,1.174991086238634536e-10,1.174866652521062267e-10,1.174854024994137794e-10
1.047152671416163260e-04,1.544245201911463269e-04,1.218714619214743410e-10,1.218584363172416091e-10,1.218572719048829232e-10
1.056846725172182243e-04,1.558541107760185959e-04,1.264064933256395177e-10,1.263928582489334117e-10,1.263921518005022253e-10
1.066630521981710566e-04,1.572969358474724259e-04,1.311102540592183299e-10,1.310959809957958464e-10,1.310958377723835797e-10
1.076504892644316501e-04,1.587531179242466237e-04,1.359890203638385623e-10,1.359740794656157331e-10,1.359743323438260645e-10
1.086470675650721946e-04,1.602227806593012663e-04,1.410493018368659901e-10,1.410336618595388745e-10,1.410340680714566167e-10
1.096528717254007261e-04,1.617060488503181182e-04,1.462978501141591587e-10,1.462814783519066964e-10,1.462818525512693953e-10
1.106679871541474359e-04,1.632030484502985175e-04,1.517416678822760858e-10,1.517245300994086386e-10,1.517247568112679318e-10
1.116925000507166008e-04,1.647139065782577837e-04,1.573880182098048935e-10,1.573700785692166111e-10,1.573701241606426002e-10
1.127264974125066012e-04,1.662387515300200493e-04,1.632444342218679192e-10,1.632256552101441948e-10,1.632255736090327012e-10
1.137700670422977421e-04,1.677777127891132993e-04,1.693187291062372356e-10,1.692990714552645570e-10,1.692989407106263745e-10
1.148232975557073634e-04,1.693309210377633980e-04,1.756190065321386439e-10,1.755984291370480958e-10,1.755983088081137881e-10
1.158862783887151240e-04,1.708985081679916299e-04,1.821536714636108148e-10,1.821321312968829456e-10,1.821320584614858031e-10
1.169590998052578382e-04,1.724806072928149691e-04,1.889314413568411267e-10,1.889088933783955267e-10,1.889088787823832849e-10
1.180418529048936333e-04,1.740773527575484802e-04,1.959613577687097378e-10,1.959377548317911686e-10,1.959377810744370553e-10
1.191346296305380705e-04,1.756888801512137817e-04,2.032527983591767586e-10,2.032280911118472480e-10,2.032281331009164552e-10
1.202375227762719865e-04,1.773153263180533542e-04,2.108154893947758529e-10,2.107896261767992129e-10,2.107896647732017944e-10
1.213506259952202416e-04,1.789568293691494471e-04,2.186595187262625007e-10,2.186324454611661499e-10,2.186324687591892114e-10
1.224740338075054266e-04,1.806135286941534118e-04,2.267953492245765684e-10,2.267670093066672162e-10,2.267670138728874180e-10
1.236078416082731684e-04,1.822855649731207166e-04,2.352338327093994640e-10,2.352041668854980481e-10,2.352041583345870184e-10
1.247521456757931524e-04,1.839730801884576622e-04,2.439862243448274995e-10,2.439551705904825640e-10,2.439551569893336799e-10
